,ft_cat_country_name,ft_cat_industry_name,ft_cat_sector_name,ft_fin_cash,ft_fin_employees,ft_fin_equity,ft_fin_inventories,ft_fin_market_cap,ft_fin_net_income,ft_fin_ppe,ft_fin_rd,ft_fin_revenue,ft_fin_roa,ft_fin_roe,ft_fin_stock_return,ft_fin_total_assets,ft_fin_total_liab,isin,scope_1,scope_2,scope_3,year
23,United States,Oil & Gas Equipment & Services,Energy,,100000.0,,4225.0,116800.300960364,-1687.0,12821.0,1012.0,27810.0,,-4.39832618529285,,77956.0,,AN8068571086,1400000.0,577000.0,1057000.0,2016
24,United States,Oil & Gas Equipment & Services,Energy,,100000.0,,4046.0,93352.8028337024,-1505.0,11576.0,787.0,30440.0,,-3.8629363449692,,71987.0,,AN8068571086,1136000.0,704000.0,876000.0,2017
25,United States,Oil & Gas Equipment & Services,Energy,1433.0,100000.0,36162.0,4010.0,49963.6587661169,2138.0,11679.0,702.0,32815.0,0.0303232303175571,5.85721330338064,-2.74733772277832,70507.0,33921.0,AN8068571086,1358000.0,561000.0,911000.0,2018
26,United States,Oil & Gas Equipment & Services,Energy,1137.0,105000.0,23760.0,4130.0,55652.4403872597,-10137.0,10570.0,717.0,32917.0,-0.180014916891604,-33.8339841794333,0.59217491149902,56312.0,32136.0,AN8068571086,1422000.0,642000.0,1185000.0,2019
27,Argentina,Regional Banks,Financials,,8774.0,,,7590.67371867212,607.873172546655,435.242532249089,,2614.73526273458,,29.327572688018,,12023.3232867246,,ARBANS010010,193.61,7968.0,,2017
28,Argentina,Regional Banks,Financials,3914.50015911227,,2659.50685857958,,2896.24860449623,559.508148656186,239.051882074591,,2699.47494688982,0.0458797838550406,31.0944735700366,-0.20760284857842,9103.45263912477,14028.7233524665,ARBANS010010,1583.51,6156.4,,2018
29,Argentina,Regional Banks,Financials,2791.18583882595,8768.0,3173.24033297884,,2902.4734292777,845.133166264474,183.759160877936,,2885.91559824455,0.0438363599355345,56.4930748179421,0.23763186040588,7155.32347049835,10252.3320083816,ARBANS010010,1985.6,6861.33,,2019
30,Argentina,Utilities—Regulated Gas,Utilities,37.3439142208109,482.0,259.369713669431,1.34847410657137,85.25503976631,74.7644055536939,252.488033538166,,675.273392682212,17.3655270095949,31.0107865647371,-47.439575,440.272400375911,156.86840717944,ARGASB010027,309559.351,3699.264,,2020
31,Argentina,Entertainment,Communication,,,,35.9754409396829,204.026378250573,16.9442217705895,52.728404991854,,855.028897254318,,4.06164280960674,,530.783145607448,,ARGCLA010015,18321.47,570845.08,,2017
32,Argentina,Entertainment,Communication,40.7818662296378,5484.0,573.114238488417,31.2618204770857,90.9605807861416,-30.44844390567,95.9322518697258,,684.889850006535,-0.0561890715634245,-14.4558684517851,-0.0306665946624,404.514720794697,558.498085832439,ARGCLA010015,1888.34,22530.78,,2018
