isin,year,scope_1,scope_2,scope_3
,2007,14657.0,44196.0,
US87612E1064,2007,248000.0,2700000.0,
US9113121068,2007,6460000.0,910000.0,
US48203R1041,2007,1753.78,27915.24,
,2007,251000.0,740000.0,
AU000000ASX7,2007,7.0,9950.0,311.0
GB00B0SWJX34,2007,563.0,3207.0,
JP3539220008,2007,397.0,9594.0,
JP3435000009,2007,545057.0,1502340.0,
DE0006602006,2007,133000.0,500000.0,
US46625H1005,2007,74464.0,980285.0,
CH0013841017,2007,418000.0,,
FR0000130809,2007,27829.0,128479.0,
GB00B39J2M42,2007,470000.0,,1570000.0
AU000000SGP0,2007,3500.09,135779.751,23532.424
MXP225611567,2007,56370000.0,,
CH0012280076,2007,528.0,4873.0,
,2007,568003.0,,
ES0178430E18,2007,96000.0,1375000.0,
BE0974264930,2007,29000.0,191000.0,18500.0
US88579Y1010,2007,5090000.0,1450000.0,
,2007,2629.0,219.0,
JP3300600008,2007,132181.0,221446.0,
AU000000TCL6,2007,117.0,36477.0,4487.0
FR0000120271,2007,57800000.0,,
US25746U1097,2007,57550000.0,,
CH0126881561,2007,8158.0,59157.0,
US4432011082,2007,33900000.0,26200000.0,
IE00B8KQN827,2007,149000.0,898000.0,
JE00B8KF9B49,2007,2479.0,141875.0,115646.0
IE00BY7QL619,2007,499722.0,1187165.0,
CH0244767585,2007,31519.0,230015.0,
GB00BDCPN049,2007,117723.0,362838.0,
US0441861046,2007,681000.0,49000.0,
CA1363851017,2007,11860000.0,1062242.0,
IE00BZ12WP82,2007,2674000.0,10871000.0,240000.0
DE000ENAG999,2007,107800000.0,8600000.0,
US1255231003,2007,4869.0,101008.0,3006.0
CA0679011084,2007,2319036.0,2006820.0,
JE00BJ1DLW90,2007,918.0,6308.0,5698.0
US98421M1062,2007,193000.0,250000.0,
US69047Q1022,2007,5468983.0,1500000.0,
CA7800871021,2007,8554.0,50351.0,
BE0003565737,2007,35128.0,13824.0,7848.0
DK0010274414,2007,3230.0,29536.0,
DE000CBK1001,2007,83356.0,8915.0,
US1729674242,2007,44162.72,1215623.59,
GB0031348658,2007,36737.0,370004.0,
US0605051046,2007,110400.0,1269600.0,
GB0002162385,2007,30437.0,39439.0,
AU000000WOW2,2008,622241.0,2432728.0,616858.0
AU000000AMP6,2008,510.0,20810.0,10053.0
AU000000ORI1,2008,4700000.0,,
AU000000ANZ3,2008,15504.0,163207.0,30632.0
AU000000LLC3,2008,10750.0,182816.0,3908594.0
AU000000ORG5,2008,6000000.0,25500000.0,8700000.0
AU000000WBC1,2008,6316.0,116658.0,40277.0
AU000000SGM7,2008,136582.0,106392.0,
,2008,52519.0,107481.0,
AU000000DXS1,2008,6226.0,151951.0,26213.0
AU000000RIO1,2008,15800000.0,13000000.0,
AU000000CCL2,2008,86572.0,156401.0,27334.0
AU000000BHP4,2008,22231000.0,29469000.0,320000000.0
AU000000TLS2,2008,100440.0,1215540.0,184822.0
AU000000GPT8,2008,6614.0,211728.0,
AU000000STO6,2008,4453917.0,58000.0,
AU000000BLD2,2008,3217000.0,727000.0,
AU000000IAG3,2008,8072.0,46482.0,6663.0
AU000000NAB4,2008,19273.0,218372.0,37105.0
AU000000MGR9,2008,14571.0,257158.0,51418.0
AU000000DOW2,2008,207900.0,37360.0,
AU000000QAN2,2008,12627695.0,,
AT0000743059,2008,12100000.0,,
AT0000720008,2008,29430.22,80877.63,
AT0000746409,2008,3407000.0,,
BE0003739530,2008,45700.0,68000.0,
BE0003810273,2008,98593.0,81407.0,
BE0003470755,2008,10571478.0,4780345.0,
BRBBDCACNPR8,2008,29267.18,79483.25,108360.06
BRCMIGACNPR3,2008,185874.0,167274.0,
BRVALEACNOR0,2008,13850200.0,1369800.0,
,2008,49520000.0,360000.0,
CA00208D4084,2008,399173.5,326596.5,
CA05534B7604,2008,150821.0,189928.0,15011.0
CA1363751027,2008,4556868.52,,
CA0636711016,2008,21163.0,31285.0,119435.0
CA1360691010,2008,11553.0,61996.0,
CA29250N1050,2008,326947.0,1008492.0,
CA59151K1084,2008,2254335.0,,
,2008,72211.0,91525.0,
CA4530384086,2008,10900000.0,900000.0,
CA8667961053,2008,32778.0,52325.0,7943.0
CA8787422044,2008,1602000.0,208000.0,
CA8672241079,2008,11431000.0,335000.0,8063.0
CA87971M1032,2008,70000.0,247000.0,13000.0
CA3359341052,2008,185543.0,4265.0,16792.0
CA56501R1064,2008,15957.0,183824.0,
,2008,3100.0,,
DK0060448595,2008,21030.0,51628.0,
DK0060738599,2008,309.0,5133.0,
DK0010268606,2008,32798.0,44613.0,
DK0010244508,2008,52224000.0,1128000.0,
DK0060083210,2008,362000.0,,1721000.0
DK0060336014,2008,54000.0,432000.0,
FI0009002422,2008,932000.0,218000.0,
FI0009005987,2008,3699000.0,3255000.0,1273000.0
FI0009005961,2008,3910000.0,3690000.0,8100000.0
FI0009000681,2008,15900.0,241600.0,161000.0
FI4000440664,2008,91000.0,169000.0,
FI0009007132,2008,10600000.0,408000.0,
FI0009000202,2008,206026.0,41985.0,2000.0
FI0009003727,2008,101705.0,,
FI0009014377,2008,3442.0,24021.0,0.0
FR0000130213,2008,16503.0,58928.0,
FR0000120172,2008,1270000.0,1298000.0,383500.0
FR0000125585,2008,404336.0,,
FR0010208488,2008,11023850.0,118954.0,
FR0000120404,2008,260977.0,997865.0,
FR0000121329,2008,137000.0,163000.0,102000.0
FR0000121014,2008,46801.0,63440.0,
FR0000031122,2008,26914000.0,75238.0,
FR0000130403,2008,46819.0,63833.0,
FR0000121485,2008,399375.0,,
,2008,1033000.0,,38777.0
FR0000120073,2008,7859000.0,7995000.0,
FR0013506730,2008,1045860.0,468349.0,1761917.0
FR0000120321,2008,82700.0,135600.0,
FR0000131906,2008,671431.0,1021184.0,0.0
,2008,756800.0,5400.0,
FR0000120693,2008,300013.0,,
FR0000124141,2008,39500000.0,3300000.0,
